"Data_point","company","year","value"
"SIZE","Cavotec","2006",9.58
"Sales","Cavotec","2006",12132
"FSD","Cavotec","2006",1
"FSTS","Cavotec","2006",0.89
"Tobin's Q","Cavotec","2006",2.26
"FXD","Cavotec","2006",0
"Gross FXD","Cavotec","2006",0
"DERIV","Cavotec","2006",0
"R&D/sales","Cavotec","2006",0
"Leverage","Cavotec","2006",0.55
"Quick ratio","Cavotec","2006",0.096
"Capex/sales","Cavotec","2006",0.017
"ROA ","Cavotec","2006",0.13
"DD","Cavotec","2006",1
"ID","Cavotec","2006",1
"DE","Cavotec","2006",0
"DDE","Cavotec","2006",0
"SIZE","Clas Ohlson","2006",7.49
"Sales","Clas Ohlson","2006",3568
"FSD","Clas Ohlson","2006",1
"FSTS","Clas Ohlson","2006",0.4
"Tobin's Q","Clas Ohlson","2006",5.77
"FXD","Clas Ohlson","2006",1
"Gross FXD","Clas Ohlson","2006",85
"DERIV","Clas Ohlson","2006",0.02
"R&D/sales","Clas Ohlson","2006",0
"Leverage","Clas Ohlson","2006",0
"Quick ratio","Clas Ohlson","2006",0.67
"Capex/sales","Clas Ohlson","2006",0.04
"ROA ","Clas Ohlson","2006",0.2
"DD","Clas Ohlson","2006",1
"ID","Clas Ohlson","2006",0
"DE","Clas Ohlson","2006",-36
"DDE","Clas Ohlson","2006",0
"SIZE","Duni","2006",8.6
"Sales","Duni","2006",3762
"FSD","Duni","2006",1
"FSTS","Duni","2006",0.78
"Tobin's Q","Duni","2006",1.28
"FXD","Duni","2006",0
"Gross FXD","Duni","2006",0
"DERIV","Duni","2006",0
"R&D/sales","Duni","2006",0.002
"Leverage","Duni","2006",2.8
"Quick ratio","Duni","2006",0.11
"Capex/sales","Duni","2006",0
"ROA ","Duni","2006",0.012
"DD","Duni","2006",1
"ID","Duni","2006",0
"DE","Duni","2006",0
"DDE","Duni","2006",0
"SIZE","Electrolux B","2006",11.1
"Sales","Electrolux B","2006",103848
"FSD","Electrolux B","2006",1
"FSTS","Electrolux B","2006",0.966
"Tobin's Q","Electrolux B","2006",1.4
"FXD","Electrolux B","2006",1
"Gross FXD","Electrolux B","2006",25500
"DERIV","Electrolux B","2006",0.25
"R&D/sales","Electrolux B","2006",0.013
"Leverage","Electrolux B","2006",0.57
"Quick ratio","Electrolux B","2006",0.151
"Capex/sales","Electrolux B","2006",0.03
"ROA ","Electrolux B","2006",0.04
"DD","Electrolux B","2006",1
"ID","Electrolux B","2006",0
"DE","Electrolux B","2006",-134
"DDE","Electrolux B","2006",0
"SIZE","Eniro","2006",9.8
"Sales","Eniro","2006",6372
"FSD","Eniro","2006",1
"FSTS","Eniro","2006",0.56
"Tobin's Q","Eniro","2006",1.62
"FXD","Eniro","2006",0
"Gross FXD","Eniro","2006",0
"DERIV","Eniro","2006",0
"R&D/sales","Eniro","2006",0.02
"Leverage","Eniro","2006",1.77
"Quick ratio","Eniro","2006",0.16
"Capex/sales","Eniro","2006",0.02
"ROA ","Eniro","2006",0.058
"DD","Eniro","2006",1
"ID","Eniro","2006",1
"DE","Eniro","2006",0
"DDE","Eniro","2006",0
"SIZE","Ericsson B","2006",12.3
"Sales","Ericsson B","2006",179821
"FSD","Ericsson B","2006",1
"FSTS","Ericsson B","2006",0.957
"Tobin's Q","Ericsson B","2006",2.48
"FXD","Ericsson B","2006",1
"Gross FXD","Ericsson B","2006",10449
"DERIV","Ericsson B","2006",0.06
"R&D/sales","Ericsson B","2006",0.15
"Leverage","Ericsson B","2006",0.179
"Quick ratio","Ericsson B","2006",2.63
"Capex/sales","Ericsson B","2006",0.018
"ROA ","Ericsson B","2006",0.123
"DD","Ericsson B","2006",1
"ID","Ericsson B","2006",0
"DE","Ericsson B","2006",2209
"DDE","Ericsson B","2006",1
"SIZE","Fagerhult","2006",9
"Sales","Fagerhult","2006",17752
"FSD","Fagerhult","2006",1
"FSTS","Fagerhult","2006",0.79
"Tobin's Q","Fagerhult","2006",1.58
"FXD","Fagerhult","2006",1
"Gross FXD","Fagerhult","2006",1976
"DERIV","Fagerhult","2006",0.11
"R&D/sales","Fagerhult","2006",0
"Leverage","Fagerhult","2006",1.04
"Quick ratio","Fagerhult","2006",0.107
"Capex/sales","Fagerhult","2006",0.031
"ROA ","Fagerhult","2006",0.076
"DD","Fagerhult","2006",1
"ID","Fagerhult","2006",1
"DE","Fagerhult","2006",-79
"DDE","Fagerhult","2006",0
"SIZE","Getinge B","2006",9.67
"Sales","Getinge B","2006",13001
"FSD","Getinge B","2006",1
"FSTS","Getinge B","2006",0.964
"Tobin's Q","Getinge B","2006",2.57
"FXD","Getinge B","2006",1
"Gross FXD","Getinge B","2006",5664
"DERIV","Getinge B","2006",0.44
"R&D/sales","Getinge B","2006",0.022
"Leverage","Getinge B","2006",0.77
"Quick ratio","Getinge B","2006",0.2
"Capex/sales","Getinge B","2006",0.013
"ROA ","Getinge B","2006",0.079
"DD","Getinge B","2006",1
"ID","Getinge B","2006",0
"DE","Getinge B","2006",-58
"DDE","Getinge B","2006",0
"SIZE","Hennes and Mauritz B","2006",10.48
"Sales","Hennes and Mauritz B","2006",68400
"FSD","Hennes and Mauritz B","2006",1
"FSTS","Hennes and Mauritz B","2006",0.92
"Tobin's Q","Hennes and Mauritz B","2006",7.64
"FXD","Hennes and Mauritz B","2006",1
"Gross FXD","Hennes and Mauritz B","2006",3590
"DERIV","Hennes and Mauritz B","2006",0.05
"R&D/sales","Hennes and Mauritz B","2006",0
"Leverage","Hennes and Mauritz B","2006",0
"Quick ratio","Hennes and Mauritz B","2006",1.41
"Capex/sales","Hennes and Mauritz B","2006",0.029
"ROA ","Hennes and Mauritz B","2006",0.3
"DD","Hennes and Mauritz B","2006",1
"ID","Hennes and Mauritz B","2006",0
"DE","Hennes and Mauritz B","2006",-103
"DDE","Hennes and Mauritz B","2006",0
"SIZE","Investor","2006",12
"Sales","Investor","2006",6958
"FSD","Investor","2006",1
"FSTS","Investor","2006",0.59
"Tobin's Q","Investor","2006",0.8
"FXD","Investor","2006",1
"Gross FXD","Investor","2006",13388
"DERIV","Investor","2006",1.92
"R&D/sales","Investor","2006",0
"Leverage","Investor","2006",0.12
"Quick ratio","Investor","2006",1.67
"Capex/sales","Investor","2006",3.26
"ROA ","Investor","2006",0.18
"DD","Investor","2006",1
"ID","Investor","2006",1
"DE","Investor","2006",-409
"DDE","Investor","2006",0
"SIZE","Kinnevik","2006",10.8
"Sales","Kinnevik","2006",6305
"FSD","Kinnevik","2006",1
"FSTS","Kinnevik","2006",0.13
"Tobin's Q","Kinnevik","2006",0.91
"FXD","Kinnevik","2006",0
"Gross FXD","Kinnevik","2006",0
"DERIV","Kinnevik","2006",0
"R&D/sales","Kinnevik","2006",0.012
"Leverage","Kinnevik","2006",0.297
"Quick ratio","Kinnevik","2006",0.04
"Capex/sales","Kinnevik","2006",0.62
"ROA ","Kinnevik","2006",0.24
"DD","Kinnevik","2006",1
"ID","Kinnevik","2006",1
"DE","Kinnevik","2006",0
"DDE","Kinnevik","2006",0
"SIZE","Lundin Petroleum","2006",9.78
"Sales","Lundin Petroleum","2006",4414
"FSD","Lundin Petroleum","2006",1
"FSTS","Lundin Petroleum","2006",0.98
"Tobin's Q","Lundin Petroleum","2006",1.7
"FXD","Lundin Petroleum","2006",1
"Gross FXD","Lundin Petroleum","2006",13456
"DERIV","Lundin Petroleum","2006",3.05
"R&D/sales","Lundin Petroleum","2006",0
"Leverage","Lundin Petroleum","2006",0.13
"Quick ratio","Lundin Petroleum","2006",0.24
"Capex/sales","Lundin Petroleum","2006",0.63
"ROA ","Lundin Petroleum","2006",0.045
"DD","Lundin Petroleum","2006",0
"ID","Lundin Petroleum","2006",0
"DE","Lundin Petroleum","2006",1790
"DDE","Lundin Petroleum","2006",1
"SIZE","Modern times group B","2006",9.13
"Sales","Modern times group B","2006",10136
"FSD","Modern times group B","2006",1
"FSTS","Modern times group B","2006",0.82
"Tobin's Q","Modern times group B","2006",3.72
"FXD","Modern times group B","2006",1
"Gross FXD","Modern times group B","2006",1700
"DERIV","Modern times group B","2006",0.17
"R&D/sales","Modern times group B","2006",0
"Leverage","Modern times group B","2006",0.05
"Quick ratio","Modern times group B","2006",0.17
"Capex/sales","Modern times group B","2006",0.034
"ROA ","Modern times group B","2006",0.163
"DD","Modern times group B","2006",1
"ID","Modern times group B","2006",0
"DE","Modern times group B","2006",-454
"DDE","Modern times group B","2006",0
"SIZE","Mycronic","2006",7.44
"Sales","Mycronic","2006",1204
"FSD","Mycronic","2006",1
"FSTS","Mycronic","2006",1
"Tobin's Q","Mycronic","2006",2.12
"FXD","Mycronic","2006",1
"Gross FXD","Mycronic","2006",571
"DERIV","Mycronic","2006",0.47
"R&D/sales","Mycronic","2006",0.21
"Leverage","Mycronic","2006",0.266
"Quick ratio","Mycronic","2006",1.89
"Capex/sales","Mycronic","2006",0.03
"ROA ","Mycronic","2006",0.054
"DD","Mycronic","2006",1
"ID","Mycronic","2006",1
"DE","Mycronic","2006",-13
"DDE","Mycronic","2006",0
"SIZE","Sandvik","2006",11.1
"Sales","Sandvik","2006",72289
"FSD","Sandvik","2006",1
"FSTS","Sandvik","2006",0.968
"Tobin's Q","Sandvik","2006",2.39
"FXD","Sandvik","2006",1
"Gross FXD","Sandvik","2006",9958
"DERIV","Sandvik","2006",0.14
"R&D/sales","Sandvik","2006",0.022
"Leverage","Sandvik","2006",0.68
"Quick ratio","Sandvik","2006",0.072
"Capex/sales","Sandvik","2006",0.058
"ROA ","Sandvik","2006",0.123
"DD","Sandvik","2006",1
"ID","Sandvik","2006",0
"DE","Sandvik","2006",-1024
"DDE","Sandvik","2006",0
"SIZE","SCA B","2006",11.8
"Sales","SCA B","2006",101439
"FSD","SCA B","2006",1
"FSTS","SCA B","2006",0.93
"Tobin's Q","SCA B","2006",1.19
"FXD","SCA B","2006",1
"Gross FXD","SCA B","2006",24625
"DERIV","SCA B","2006",0.24
"R&D/sales","SCA B","2006",0.0055
"Leverage","SCA B","2006",0.66
"Quick ratio","SCA B","2006",0.04
"Capex/sales","SCA B","2006",0.065
"ROA ","SCA B","2006",0.041
"DD","SCA B","2006",1
"ID","SCA B","2006",0
"DE","SCA B","2006",-333
"DDE","SCA B","2006",0
"SIZE","Securitas B","2006",10.48
"Sales","Securitas B","2006",60523
"FSD","Securitas B","2006",1
"FSTS","Securitas B","2006",0.92
"Tobin's Q","Securitas B","2006",1.66
"FXD","Securitas B","2006",1
"Gross FXD","Securitas B","2006",4890
"DERIV","Securitas B","2006",0.08
"R&D/sales","Securitas B","2006",0
"Leverage","Securitas B","2006",1.24
"Quick ratio","Securitas B","2006",0.1
"Capex/sales","Securitas B","2006",0.011
"ROA ","Securitas B","2006",0.024
"DD","Securitas B","2006",1
"ID","Securitas B","2006",0
"DE","Securitas B","2006",-341
"DDE","Securitas B","2006",0
"SIZE","Skanska B","2006",11.17
"Sales","Skanska B","2006",125603
"FSD","Skanska B","2006",1
"FSTS","Skanska B","2006",0.75
"Tobin's Q","Skanska B","2006",1.52
"FXD","Skanska B","2006",1
"Gross FXD","Skanska B","2006",4939
"DERIV","Skanska B","2006",0.04
"R&D/sales","Skanska B","2006",0.00057
"Leverage","Skanska B","2006",0.8
"Quick ratio","Skanska B","2006",0.24
"Capex/sales","Skanska B","2006",0.016
"ROA ","Skanska B","2006",0.051
"DD","Skanska B","2006",1
"ID","Skanska B","2006",0
"DE","Skanska B","2006",756
"DDE","Skanska B","2006",1
"SIZE","SKF B","2006",10.75
"Sales","SKF B","2006",53101
"FSD","SKF B","2006",1
"FSTS","SKF B","2006",0.979
"Tobin's Q","SKF B","2006",1.68
"FXD","SKF B","2006",1
"Gross FXD","SKF B","2006",5190
"DERIV","SKF B","2006",0.1
"R&D/sales","SKF B","2006",0.016
"Leverage","SKF B","2006",0.65
"Quick ratio","SKF B","2006",0.6
"Capex/sales","SKF B","2006",0.036
"ROA ","SKF B","2006",0.095
"DD","SKF B","2006",1
"ID","SKF B","2006",1
"DE","SKF B","2006",-3765
"DDE","SKF B","2006",0
"SIZE","SSAB A","2006",10.03
"Sales","SSAB A","2006",31054
"FSD","SSAB A","2006",1
"FSTS","SSAB A","2006",0.64
"Tobin's Q","SSAB A","2006",2.01
"FXD","SSAB A","2006",1
"Gross FXD","SSAB A","2006",5339
"DERIV","SSAB A","2006",0.17
"R&D/sales","SSAB A","2006",0
"Leverage","SSAB A","2006",0.11
"Quick ratio","SSAB A","2006",0.28
"Capex/sales","SSAB A","2006",0.05
"ROA ","SSAB A","2006",0.187
"DD","SSAB A","2006",1
"ID","SSAB A","2006",0
"DE","SSAB A","2006",-1456
"DDE","SSAB A","2006",0
"SIZE","Sweco ","2006",7.6
"Sales","Sweco ","2006",3895
"FSD","Sweco ","2006",1
"FSTS","Sweco ","2006",0.5
"Tobin's Q","Sweco ","2006",2.75
"FXD","Sweco ","2006",0
"Gross FXD","Sweco ","2006",0
"DERIV","Sweco ","2006",0
"R&D/sales","Sweco ","2006",0
"Leverage","Sweco ","2006",0.13
"Quick ratio","Sweco ","2006",0.23
"Capex/sales","Sweco ","2006",0.021
"ROA ","Sweco ","2006",0.126
"DD","Sweco ","2006",1
"ID","Sweco ","2006",0
"DE","Sweco ","2006",0
"DDE","Sweco ","2006",0
"SIZE","Swedish match","2006",9.66
"Sales","Swedish match","2006",12273
"FSD","Swedish match","2006",1
"FSTS","Swedish match","2006",0.61
"Tobin's Q","Swedish match","2006",2.71
"FXD","Swedish match","2006",1
"Gross FXD","Swedish match","2006",5201
"DERIV","Swedish match","2006",0.42
"R&D/sales","Swedish match","2006",0.0077
"Leverage","Swedish match","2006",1.05
"Quick ratio","Swedish match","2006",0.77
"Capex/sales","Swedish match","2006",0.024
"ROA ","Swedish match","2006",0.15
"DD","Swedish match","2006",1
"ID","Swedish match","2006",0
"DE","Swedish match","2006",-109
"DDE","Swedish match","2006",0
"SIZE","Tele2 B","2006",11.1
"Sales","Tele2 B","2006",38530
"FSD","Tele2 B","2006",1
"FSTS","Tele2 B","2006",0.71
"Tobin's Q","Tele2 B","2006",1.23
"FXD","Tele2 B","2006",1
"Gross FXD","Tele2 B","2006",14325
"DERIV","Tele2 B","2006",0.37
"R&D/sales","Tele2 B","2006",0
"Leverage","Tele2 B","2006",0.59
"Quick ratio","Tele2 B","2006",0.16
"Capex/sales","Tele2 B","2006",0.14
"ROA ","Tele2 B","2006",-0.004
"DD","Tele2 B","2006",1
"ID","Tele2 B","2006",0
"DE","Tele2 B","2006",-4321
"DDE","Tele2 B","2006",0
"SIZE","TeliaSonera","2006",12.2
"Sales","TeliaSonera","2006",91060
"FSD","TeliaSonera","2006",1
"FSTS","TeliaSonera","2006",0.601
"Tobin's Q","TeliaSonera","2006",1.63
"FXD","TeliaSonera","2006",1
"Gross FXD","TeliaSonera","2006",19827
"DERIV","TeliaSonera","2006",0.22
"R&D/sales","TeliaSonera","2006",0.0202
"Leverage","TeliaSonera","2006",0.22
"Quick ratio","TeliaSonera","2006",0.38
"Capex/sales","TeliaSonera","2006",0.12
"ROA ","TeliaSonera","2006",0.097
"DD","TeliaSonera","2006",1
"ID","TeliaSonera","2006",0
"DE","TeliaSonera","2006",-561
"DDE","TeliaSonera","2006",0
"SIZE","Volvo ","2006",12.46
"Sales","Volvo ","2006",258835
"FSD","Volvo ","2006",1
"FSTS","Volvo ","2006",0.947
"Tobin's Q","Volvo ","2006",0.8
"FXD","Volvo ","2006",1
"Gross FXD","Volvo ","2006",123253
"DERIV","Volvo ","2006",0.48
"R&D/sales","Volvo ","2006",0.0323
"Leverage","Volvo ","2006",0.87
"Quick ratio","Volvo ","2006",0.31
"Capex/sales","Volvo ","2006",0.05
"ROA ","Volvo ","2006",0.063
"DD","Volvo ","2006",1
"ID","Volvo ","2006",1
"DE","Volvo ","2006",1364
"DDE","Volvo ","2006",1
"SIZE","ÅF B","2006",7.7
"Sales","ÅF B","2006",3114
"FSD","ÅF B","2006",1
"FSTS","ÅF B","2006",0.26
"Tobin's Q","ÅF B","2006",1.56
"FXD","ÅF B","2006",0
"Gross FXD","ÅF B","2006",0
"DERIV","ÅF B","2006",0
"R&D/sales","ÅF B","2006",0
"Leverage","ÅF B","2006",0.28
"Quick ratio","ÅF B","2006",0.26
"Capex/sales","ÅF B","2006",0.014
"ROA ","ÅF B","2006",0.047
"DD","ÅF B","2006",1
"ID","ÅF B","2006",0
"DE","ÅF B","2006",0
"DDE","ÅF B","2006",0
"Total Assets","AAK","2006",6933
"Foreign sales","AAK","2006",9546
"BV equity","AAK","2006",2319
"Cash","AAK","2006",129
"Gross nominal value","AAK","2006",1384
"R&D expenses","AAK","2006",111
"Total debt","AAK","2006",3156
"Capex","AAK","2006",501
"Net income","AAK","2006",177
"Short term liabilities","AAK","2006",1898
"No of shares (millions)","AAK","2006",41
"Share price 31/12 (est = x cost of EQ - dividend)","AAK","2006",201
"Capitalization","AAK","2006",8241
"Total Assets","Active Biotech","2006",462.4
"Foreign sales","Active Biotech","2006",19
"BV equity","Active Biotech","2006",60
"Cash","Active Biotech","2006",98
"Gross nominal value","Active Biotech","2006",0
"R&D expenses","Active Biotech","2006",165.7
"Total debt","Active Biotech","2006",358.7
"Capex","Active Biotech","2006",33
"Net income","Active Biotech","2006",-139.2
"Short term liabilities","Active Biotech","2006",147
"No of shares (millions)","Active Biotech","2006",41
"Share price 31/12 (est = x cost of EQ - dividend)","Active Biotech","2006",77.54
"Capitalization","Active Biotech","2006",3179
"Total Assets","Alfa Laval","2006",18750
"Foreign sales","Alfa Laval","2006",18947
"BV equity","Alfa Laval","2006",6831
"Cash","Alfa Laval","2006",546
"Gross nominal value","Alfa Laval","2006",6379
"R&D expenses","Alfa Laval","2006",526
"Total debt","Alfa Laval","2006",2203
"Capex","Alfa Laval","2006",373
"Net income","Alfa Laval","2006",1725
"Short term liabilities","Alfa Laval","2006",6742
"No of shares (millions)","Alfa Laval","2006",111.7
"Share price 31/12 (est = x cost of EQ - dividend)","Alfa Laval","2006",77.25
"Capitalization","Alfa Laval","2006",8628.8
"Total Assets","Arcam","2006",68.5
"Foreign sales","Arcam","2006",13
"BV equity","Arcam","2006",50.7
"Cash","Arcam","2006",16.1
"Gross nominal value","Arcam","2006",0
"R&D expenses","Arcam","2006",14.1
"Total debt","Arcam","2006",0
"Capex","Arcam","2006",8.2
"Net income","Arcam","2006",-8.6
"Short term liabilities","Arcam","2006",17.8
"Capitalization","Arcam","2006",66.8
"Total Assets","ASSA ABLOY B","2006",35557
"Foreign sales","ASSA ABLOY B","2006",29702
"BV equity","ASSA ABLOY B","2006",13645
"Cash","ASSA ABLOY B","2006",1154
"Gross nominal value","ASSA ABLOY B","2006",6202
"R&D expenses","ASSA ABLOY B","2006",719
"Total debt","ASSA ABLOY B","2006",13560
"Capex","ASSA ABLOY B","2006",739
"Net income","ASSA ABLOY B","2006",1756
"Short term liabilities","ASSA ABLOY B","2006",12380
"No of shares (millions)","ASSA ABLOY B","2006",365.9
